Chr	Start	End	Target	Score
chr9	22124001	22126001	ENST00000452276	0.93
chr2	242792001	242794001	ENST00000485966	0.792
chr1	109816001	109818001	ENST00000534661	0.607
chr6	138230001	138232001	ENST00000509752	0.825
chr4	145488001	145490001	ENST00000266542	0.976
chr6	138230001	138232001	ENST00000175238	0.778
chr12	2346001	2348001	ENST00000175238	0.778
chr6	117210001	117212001	ENST00000385217	0.504
chr2	217920001	217922001	ENST00000433920	0.772
chrY	10018601	10020601	ENST00000359945	0.447
chrY	10018601	10020601	ENST00000344087	0.655
chrY	10018601	10020601	ENST00000330071	0.779
chrY	10020001	10022001	ENST00000344087	0.648
chrY	10020001	10022001	ENST00000521628	0.48
chrY	10020001	10022001	ENST00000330071	0.554
chrY	10024001	10026001	ENST00000344087	0.709
chrY	10024001	10026001	ENST00000521628	0.494
chrY	10024001	10026001	ENST00000330071	0.771
chrY	13136601	13138601	ENST00000535299	0.182
chrY	13136601	13138601	ENST00000485070	0.147
chrY	13136601	13138601	ENST00000475024	0.078
chrY	13193601	13195601	ENST00000535299	0.588
chrY	13193601	13195601	ENST00000485070	0.613
chrY	13193601	13195601	ENST00000475024	0.042
chrY	13448801	13450801	ENST00000535299	0.367
chrY	13448801	13450801	ENST00000485070	0.422
chrY	13448801	13450801	ENST00000537442	0.279
chrY	13452401	13454401	ENST00000535299	0.278
chrY	13452401	13454401	ENST00000485070	0.571
chrY	13452401	13454401	ENST00000537442	0.248
chrY	13457201	13459201	ENST00000535299	0.599
chrY	13457201	13459201	ENST00000485070	0.32
chrY	13457201	13459201	ENST00000537442	0.208
chrY	13459801	13461801	ENST00000535299	0.685
chrY	13459801	13461801	ENST00000485070	0.265
chrY	13459801	13461801	ENST00000537442	0.369
chrY	13464001	13466001	ENST00000535299	0.167
chrY	13464001	13466001	ENST00000485070	0.276
chrY	13464001	13466001	ENST00000537442	0.652
chrY	13467001	13469001	ENST00000535299	0.397
chrY	13467001	13469001	ENST00000485070	0.311
chrY	13467001	13469001	ENST00000537442	0.436
chrY	13480801	13482801	ENST00000535299	0.375
chrY	13480801	13482801	ENST00000485070	0.593
chrY	13480801	13482801	ENST00000537442	0.763
chrY	13484201	13486201	ENST00000535299	0.481
chrY	13484201	13486201	ENST00000485070	0.603
chrY	13484201	13486201	ENST00000537442	0.727
chrY	13649801	13651801	ENST00000535299	0.107
chrY	13649801	13651801	ENST00000521160	0.242
chrY	13649801	13651801	ENST00000458323	0.428
chrY	13659801	13661801	ENST00000537442	0.409
chrY	13659801	13661801	ENST00000474617	0.884
chrY	13659801	13661801	ENST00000521160	0.463
chrY	13668801	13670801	ENST00000537442	0.492
chrY	13668801	13670801	ENST00000521160	0.527
chrY	13668801	13670801	ENST00000458323	0.231
chrY	13680201	13682201	ENST00000474617	0.258
chrY	13680201	13682201	ENST00000521160	0.222
chrY	13680201	13682201	ENST00000458323	0.413
chrY	13800401	13802401	ENST00000475024	0.754
chrY	13800401	13802401	ENST00000458323	0.593
chrY	13800401	13802401	ENST00000395011	0.505
chrY	13805401	13807401	ENST00000521160	0.636
chrY	13805401	13807401	ENST00000458323	0.73
chrY	13805401	13807401	ENST00000395011	0.471
chrY	13809201	13811201	ENST00000521160	0.492
chrY	13809201	13811201	ENST00000458323	0.556
chrY	13809201	13811201	ENST00000395011	0.572
chrY	13812201	13814201	ENST00000475024	0.466
