is_annotated_in_encode	is_sensitive	is_ultrasensitive	is_motif_breaking	target_gene_known	taget_gene_is_hub
CR080767	1	0	0	0	0	0
CR083996	1	0	0	0	1	0
CR0911347	1	0	0	0	0	0
CR0911356	1	0	0	0	0	0
CR095246	1	0	0	0	0	0
CR095443	1	0	0	0	0	0
CR109943	0	0	0	0	0	0
CR1210014	0	0	0	0	0	0
CR1110626	1	0	0	0	0	0
CR1110627	1	0	0	0	0	0
CR1110628	1	0	0	0	0	0
CR1110629	0	0	0	0	0	0
CR123852	1	0	0	0	0	0
CR123853	1	0	0	0	0	0
CR123854	1	0	0	0	0	0
CR123855	1	0	0	0	0	0
CR053508	1	0	0	0	0	0
CR057602	1	0	0	0	1	1
CR087182	1	0	0	0	1	1
CR106322	0	0	0	0	0	0
CR1111594	1	0	0	0	0	0
CR045993	0	0	0	0	0	0
CR061338	1	0	0	0	0	0
CR002153	1	0	0	0	0	0
CR004775	1	0	0	0	0	0
CR014437	1	0	0	0	0	0
CR070418	1	1	0	0	0	0
CR077670	1	0	0	0	1	0
CR078170	1	0	0	0	1	1
CR085115	0	0	0	0	0	0
CR098746	1	0	0	0	0	0
CR102886	1	0	0	0	0	0
CR102887	1	0	0	0	0	0
CR109398	1	0	0	0	1	1
CR1111322	1	0	0	0	0	0
CR117967	1	0	0	0	0	0
CR117970	1	0	0	0	0	0
CR1212004	1	0	0	0	1	1
CR1212005	0	0	0	0	0	0
CR129186	0	0	0	0	0	0
CR129190	1	0	0	0	0	0
CR129201	1	0	0	0	0	0
CR129203	1	0	0	0	0	0
CR129204	0	0	0	0	0	0
CR025422	0	0	0	0	0	0
CR073540	1	0	0	0	0	0
CR083997	0	0	0	0	0	0
CR093431	1	0	0	0	0	0
CR128695	1	0	0	0	0	0
CR128697	0	0	0	0	0	0
CR128698	1	0	0	0	0	0
CR128699	1	0	0	0	0	0
CR973336	1	0	0	0	0	0
CR020829	1	0	0	0	0	0
CR025894	0	0	0	0	0	0
CR096274	1	0	0	0	0	0
CR097872	1	0	0	0	0	0
CR139457	1	0	0	0	0	0
CR139459	1	0	0	0	0	0
HR971651	0	0	0	0	0	0
CR014433	1	0	0	0	1	0
CR051277	1	0	0	0	0	0
CR054252	0	0	0	0	0	0
CR065648	1	0	0	0	0	0
CR071282	0	0	0	0	0	0
CR071287	0	0	0	0	0	0
CR073539	1	0	0	0	0	0
CR993027	1	0	0	0	0	0
CR015138	1	0	0	0	1	0
CR015139	0	0	0	0	0	0
CR120402	0	0	0	0	0	0
CR1213098	1	0	0	0	0	0
CR132467	0	0	0	0	0	0
CR132468	1	0	0	0	0	0
CR136679	1	0	0	0	0	0
CR136680	1	0	0	0	0	0
CR136681	1	0	0	0	0	0
CR136682	1	0	0	0	0	0
CR962504	0	0	0	0	0	0
CR040864	1	0	0	0	0	0
CR073549	1	0	0	0	0	0
CR106743	0	0	0	0	0	0
CR119475	1	0	0	0	0	0
CR119966	1	0	0	0	0	0
CR973135	1	0	0	0	0	0
CR973136	0	0	0	0	0	0
CR045670	1	0	0	0	0	0
CR084749	1	0	0	0	0	0
CR094444	1	0	0	0	0	0
CR015013	1	0	0	0	0	0
CR020339	1	0	0	0	0	0
CR064470	1	0	0	0	0	0
CR076695	1	0	0	0	1	0
CR078287	1	0	0	0	0	0
CR114539	1	0	0	0	0	0
CR116619	1	0	0	0	0	0
CR136167	1	0	0	0	0	0
CR004576	0	0	0	0	0	0
CR034843	1	0	0	0	0	0
CR040152	1	0	0	0	0	0
